Statistic,Clarkson,Opponents OPP,Season,Type,"('#', '#')","('Player', 'Player')","('GP', 'GP')","('Shots', 'G')","('Shots', 'A')","('Shots', 'PTS')","('Shots', 'SH')","('Shots', 'SH%')","('Shots', '+/-')","('Goals', 'PPG')","('Goals', 'SHG')","('Goals', 'FG')","('Goals', 'GWG')","('Goals', 'GTG')","('Goals', 'OTG')","('Goals', 'HTG')","('Goals', 'UAG')","('Penalties', 'PN-PIM')","('Penalties', 'MIN')","('Penalties', 'MAJ')","('Penalties', 'OTH')","('BLK', 'BLK')","('Bio Link', 'Bio Link')","('Season', '')","('Type', '')","('GP-GS', 'GP-GS')","('MIN', 'MIN')","('Goals', 'GA')","('Goals', 'AVG')","('Goals', 'ENG')","('Saves', 'SV')","('Saves', 'SV%')","('Record', 'W')","('Record', 'L')","('Record', 'T')","('Record', 'SHO')","('Record', 'SO')","('Unnamed: 0_level_0', 'Date')","('Unnamed: 1_level_0', 'Opponent')","('Unnamed: 2_level_0', 'W/L')","('Shots', 'Score')","('Shots', 'PCT')","('Penalty', 'NO/MIN')","('Goals', 'PP')","('Goals', 'SH')","('Goals', 'EN')","('Goals', 'GW')","('Goals', 'HT')","('Goals', 'UA')","('Unnamed: 17_level_0', 'BLK')","('Unnamed: 3_level_0', 'Score')","('Goals Against', 'Minutes')","('Goals Against', 'GA')","('Goals Against', 'AVG')","('Saves', 'Saves')","('Saves', 'PCT')","('Shot Summary', 'Goals')","('Shot Summary', 'Assists')","('Shot Summary', 'Shots')","('Penalties', 'NO/MIN')","('Penalties', 'Unnamed: 7_level_1')","('Penalties', 'NO/MIN.1')",High,Game(s),Low,Player - Game,Date,Opponent,MIN,GA,SV,PPG,SHG,ENG,SOG,G,A,SH,FW-FL,PN,PIM,CLARKSON
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,3/23/19,vs Cornell,W,,,,0.0,0.0,0.0,,,,,3-2,74:36,2.0,1.62,29.0,0.935,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,0.0,1.0,0.0,,,3/29/19,vs Notre Dame,L,,,,0.0,0.0,0.0,,,,,2-3,75:53,3.0,2.4,35.0,0.921,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,26.0,11.0,2.0,,,,CLARKSON,,,,,18.0,1.0,2.0,,,,,122-78,2387:22,78.0,1.91,985.0,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,26.0,11.0,2.0,,,,Opponents,,,,,27.0,3.0,9.0,,,,,78-122,2387:22,122.0,2.84,953.0,0.887,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,6.0,10.0,32.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,10/11/18,Penn State,W,4-3,0.125,2-4,2.0,1.0,0.0,1.0,0.0,1.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,9.0,14.0,35.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,10/12/18,Penn State,W,5-1,0.143,3-6,0.0,0.0,1.0,1.0,0.0,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,28.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,10/19/18,at UW,L,2-4,0.071,5-10,1.0,0.0,0.0,0.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,25.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,10/20/18,at HC,L,1-3,0.04,6-12,1.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,16.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,10/27/18,at CANISIUS,L,1-4,0.063,4-8,1.0,0.0,0.0,0.0,0.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,0.0,0.0,34.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,11/02/18,Rensselaer,L,0-6,0.0,3-6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,5.0,8.0,29.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,11/03/18,Union College,W,3-2,0.103,6-12,2.0,0.0,0.0,1.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6.0,10.0,16.0,30.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,11/10/18,CANISIUS,W,6-3,0.2,5-10,4.0,0.0,0.0,1.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,1.0,2.0,27.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,11/16/18,at MTU,L,1-3,0.037,6-20,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,1.0,2.0,26.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,11/17/18,at MTU,L,1-3,0.038,7-14,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,20.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,11/24/18,vs St. Lawrence,L,2-6,0.1,6-12,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,28.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,11/30/18,at BRWN,L,1-5,0.036,7-33,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,38.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,12/01/18,at YALE(19),W,2-1,0.053,3-6,1.0,0.0,0.0,1.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,7.0,11.0,30.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,12/07/18,St. Lawrence,W,4-2,0.133,2-4,0.0,0.0,0.0,1.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,0.0,0.0,15.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,12/08/18,at SLU,L,0-3,0.0,5-10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,0.0,0.0,15.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,12/28/18,ARIZONA STATE,L,0-3,0.0,7-14,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,30.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,12/29/18,vs MINNESOTA DULUTH,L,1-3,0.033,5-10,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,21.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,1/06/19,Vermont,L,2-3,0.095,3-6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,1.0,2.0,24.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,1/11/19,at Union College,L,1-5,0.042,4-16,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,25.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,1/12/19,at RPI,L,2-5,0.08,4-8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,2.0,4.0,29.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,1/18/19,Yale Bulldogs,L,2-4,0.069,3-6,1.0,0.0,0.0,0.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,0.0,0.0,20.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,1/19/19,Brown,L,0-4,0.0,3-6,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,7.0,11.0,41.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,1/25/19,HARV,W,4-3,0.098,0-0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,0.0,0.0,31.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,1/26/19,Dartmouth,L,0-2,0.0,1-2,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,7.0,11.0,23.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,2/01/19,at QUINNIPIAC,W,4-2,0.174,4-8,1.0,0.0,1.0,1.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,1.0,2.0,24.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,2/02/19,at PRINCETON,L,1-3,0.042,2-4,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,8.0,13.0,26.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,2/08/19,Cornell,W,5-0,0.192,4-8,2.0,0.0,0.0,1.0,0.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,29.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,2/09/19,Colgate,L,1-2,0.034,3-6,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,24.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,2/15/19,at Dartmouth,W,1-0,0.042,6-12,0.0,0.0,0.0,1.0,0.0,0.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,4.0,7.0,33.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,2/16/19,at HARVARD,L,3-5,0.091,3-6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,36.0,,,,,,,1.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,2/22/19,PRINCETON,T,1-1,0.028,5-10,1.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,5.0,8.0,27.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,2/23/19,Quinnipiac,L,3-5,0.111,3-6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,3.0,5.0,23.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,3/01/19,at Colgate,L,2-3,0.087,3-6,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,14.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,3/02/19,at Cornell,T,2-2,0.143,4-8,1.0,0.0,0.0,0.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,0.0,1.0,24.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,3/15/19,at YALE,L,1-3,0.042,4-8,0.0,0.0,0.0,0.0,0.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,3.0,5.0,34.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,3/16/19,at YALE(19),L,2-5,0.059,8-16,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,3.0,5.0,28.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,3/22/19,vs Harvard,L,2-5,0.071,1-2,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,31.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,3/23/19,vs Cornell,L,2-3,0.065,5-10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,39.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,3/29/19,vs Notre Dame,W,3-2,0.077,4-8,0.0,0.0,0.0,1.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,78.0,131.0,209.0,1064.0,,,,,,,1.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,,Opponents,,78-122,0.073,159-353,18.0,1.0,2.0,11.0,0.0,3.0,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,122.0,205.0,327.0,1075.0,,,,,,,1.0,,,,,,,,,,2018-19,Table_7,,,,,,,,,,,,,,CLARKSON,,122-78,0.113,158-363,27.0,3.0,9.0,26.0,0.0,8.0,510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,1.0,0.0,0.0,,,10/11/18,Penn State,W,,,,1.0,0.0,0.0,,,,,4-3,60:00,3.0,3.0,23.0,0.885,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,1.0,0.0,0.0,,,10/12/18,Penn State,W,,,,0.0,0.0,0.0,,,,,5-1,60:00,1.0,1.0,35.0,0.972,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,10/19/18,at UW,L,,,,2.0,0.0,0.0,,,,,2-4,60:00,4.0,4.0,21.0,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,10/20/18,at HC,L,,,,1.0,0.0,1.0,,,,,1-3,60:00,3.0,2.0,23.0,0.885,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,10/27/18,at CANISIUS,L,,,,0.0,0.0,1.0,,,,,1-4,60:00,4.0,3.0,18.0,0.818,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,11/02/18,Rensselaer,L,,,,1.0,0.0,0.0,,,,,0-6,60:00,6.0,6.0,20.0,0.769,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,1.0,0.0,0.0,,,11/03/18,Union College,W,,,,1.0,0.0,0.0,,,,,3-2,60:00,2.0,2.0,15.0,0.882,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,1.0,0.0,0.0,,,11/10/18,CANISIUS,W,,,,0.0,0.0,0.0,,,,,6-3,60:00,3.0,3.0,33.0,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,11/16/18,at MTU,L,,,,0.0,0.0,1.0,,,,,1-3,60:00,3.0,2.0,18.0,0.857,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,11/17/18,at MTU,L,,,,1.0,0.0,1.0,,,,,1-3,60:00,3.0,2.0,22.0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,11/24/18,vs St. Lawrence,L,,,,1.0,0.0,0.0,,,,,2-6,60:00,6.0,6.0,36.0,0.857,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,11/30/18,at BRWN,L,,,,1.0,0.0,0.0,,,,,1-5,60:00,5.0,5.0,23.0,0.821,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,1.0,0.0,0.0,,,12/01/18,at YALE(19),W,,,,1.0,0.0,0.0,,,,,2-1,60:00,1.0,1.0,19.0,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,1.0,0.0,0.0,,,12/07/18,St. Lawrence,W,,,,0.0,1.0,0.0,,,,,4-2,60:00,2.0,2.0,48.0,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,12/08/18,at SLU,L,,,,0.0,0.0,0.0,,,,,0-3,60:00,3.0,3.0,37.0,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,12/28/18,ARIZONA STATE,L,,,,3.0,0.0,0.0,,,,,0-3,60:00,3.0,3.0,26.0,0.897,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,12/29/18,vs MINNESOTA DULUTH,L,,,,0.0,0.0,1.0,,,,,1-3,60:00,3.0,2.0,12.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,1/06/19,Vermont,L,,,,0.0,0.0,0.0,,,,,2-3,64:41,3.0,2.81,27.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,1/11/19,at Union College,L,,,,0.0,1.0,1.0,,,,,1-5,60:00,5.0,4.0,18.0,0.783,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,1/12/19,at RPI,L,,,,2.0,0.0,1.0,,,,,2-5,60:00,5.0,4.0,29.0,0.853,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,1/18/19,Yale Bulldogs,L,,,,1.0,0.0,0.0,,,,,2-4,60:00,4.0,4.0,15.0,0.789,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,1/19/19,Brown,L,,,,1.0,0.0,0.0,,,,,0-4,60:00,4.0,4.0,18.0,0.818,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,1.0,0.0,0.0,,,1/25/19,HARV,W,,,,0.0,0.0,0.0,,,,,4-3,62:12,3.0,2.9,28.0,0.903,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,1/26/19,Dartmouth,L,,,,0.0,0.0,0.0,,,,,0-2,60:00,2.0,2.0,19.0,0.905,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,1.0,0.0,0.0,,,2/01/19,at QUINNIPIAC,W,,,,0.0,0.0,0.0,,,,,4-2,60:00,2.0,2.0,25.0,0.926,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,2/02/19,at PRINCETON,L,,,,1.0,1.0,1.0,,,,,1-3,60:00,3.0,2.0,21.0,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,1.0,0.0,0.0,,,2/08/19,Cornell,W,,,,0.0,0.0,0.0,,,,,5-0,60:00,0.0,0.0,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,2/09/19,Colgate,L,,,,0.0,0.0,0.0,,,,,1-2,60:00,2.0,2.0,20.0,0.909,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,1.0,0.0,0.0,,,2/15/19,at Dartmouth,W,,,,0.0,0.0,0.0,,,,,1-0,60:00,0.0,0.0,29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,2/16/19,at HARVARD,L,,,,1.0,0.0,1.0,,,,,3-5,60:00,5.0,4.0,21.0,0.808,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,0.0,1.0,,,2/22/19,PRINCETON,T,,,,1.0,0.0,0.0,,,,,1-1,65:00,1.0,0.92,24.0,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,2/23/19,Quinnipiac,L,,,,0.0,0.0,0.0,,,,,3-5,60:00,5.0,5.0,28.0,0.848,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,3/01/19,at Colgate,L,,,,0.0,0.0,0.0,,,,,2-3,60:00,3.0,3.0,33.0,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,0.0,1.0,,,3/02/19,at Cornell,T,,,,1.0,0.0,0.0,,,,,2-2,65:00,2.0,1.85,33.0,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,3/15/19,at YALE,L,,,,1.0,0.0,0.0,,,,,1-3,60:00,3.0,3.0,24.0,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,3/16/19,at YALE(19),L,,,,3.0,0.0,0.0,,,,,2-5,60:00,5.0,5.0,25.0,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,3/22/19,vs Harvard,L,,,,0.0,0.0,0.0,,,,,2-5,60:00,5.0,5.0,26.0,0.839,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,0.0,1.0,0.0,,,3/23/19,vs Cornell,L,,,,2.0,0.0,0.0,,,,,2-3,74:36,3.0,2.43,24.0,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,1.0,0.0,0.0,,,3/29/19,vs Notre Dame,W,,,,0.0,0.0,0.0,,,,,3-2,75:53,2.0,1.6,20.0,0.909,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,26.0,11.0,2.0,,,,Opponents,,,,,27.0,3.0,9.0,,,,,78-122,2387:22,122.0,2.84,953.0,0.887,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_8,,,,,,,,26.0,11.0,2.0,,,,CLARKSON,,,,,18.0,1.0,2.0,,,,,122-78,2387:22,78.0,1.91,985.0,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_9,,,,,,,,,,,,,10/11/18,at Penn State,L,,,,,,,,,,,,,,,,,3/4,6/6,26/32,3-6,/,2-4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_9,,,,,,,,,,,,,10/12/18,at Penn State,L,,,,,,,,,,,,,,,,,1/5,2/9,36/35,1-2,/,3-6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_9,,,,,,,,,,,,,10/19/18,UW,W,,,,,,,,,,,,,,,,,4/2,8/4,25/28,6-23,/,5-10,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_9,,,,,,,,,,,,,10/20/18,HC,W,,,,,,,,,,,,,,,,,3/1,6/2,26/25,4-8,/,6-12,,,,,,,,,,,,,,,,,,,,
